Indivíduo	Provedor
1 		VIVO
2 		CLARO
3 		CLARO
4 		OIFIBRA
5 		VIVO
6 		OIFIBRA
7 		OSIRNET  
8 		OIFIBRA 
9 		OIFIBRA
10 		CLARO
11 		VIVO
12 		CLARO
13 		OIFIBRA
14 		OSIRNET
15 		CLARO
16 		OIFIBRA
17 		OIFIBRA
18 		VIVO
19 		OSIRNET
20 		OIFIBRA
21 		OIFIBRA
22 		CLARO
23 		CLARO
24 		OIFIBRA
25 		CLARO
26 		CLARO
27 		OIFIBRA
28 		OSIRNET
29 		OSIRNET
30 		VIVO
31 		CLARO
32 		CLARO
33 		OIFIBRA
34 		VIVO
35 		OIFIBRA
36 		OSIRNET
37 		OIFIBRA
38 		OIFIBRA
39 		OIFIBRA
40 		VIVO 



